Articulo,Anhada,Partida,Raza,Alimentacion,N_Serie,Ac_Oleico,Ac_Palmitico,Ac_Estearico,Ac_Linoleico,PesoVarios,Pesovientres,PesoCerdos,PesoNetoCanal,Nacimiento,Matadero,NroAnimales,PesoEntrada,TipoPesada,PesoSalida,DescripcionArticulo,FechaEntrada,FechaSalida
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398318,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.85,Individual,12.2525,JAMON DE BELLOTA 100%_IBERICO,25/09/2014,02/11/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007397809,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.835,Individual,12.24275,JAMON DE BELLOTA 100%_IBERICO,11/06/2015,01/07/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397540,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.83,Individual,12.2395,JAMON DE BELLOTA 100%_IBERICO,19/07/2015,29/07/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397373,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.825,Individual,12.23625,JAMON DE BELLOTA 100%_IBERICO,25/09/2014,02/11/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399001,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.815,Individual,12.22975,JAMON DE BELLOTA 100%_IBERICO,27/08/2015,02/09/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399162,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.81,Individual,12.2265,JAMON DE BELLOTA 100%_IBERICO,21/10/2013,16/10/2017
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399162,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.805,Individual,12.22325,JAMON DE BELLOTA 100%_IBERICO,06/10/2013,16/10/2017
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398073,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.8,Individual,12.22,JAMON DE BELLOTA 100%_IBERICO,17/06/2015,26/07/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398233,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.775,Individual,12.20375,JAMON DE BELLOTA 100%_IBERICO,16/03/2015,20/03/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399148,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.775,Individual,12.20375,JAMON DE BELLOTA 100%_IBERICO,10/01/2015,28/01/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399452,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.77,Individual,12.2005,JAMON DE BELLOTA 100%_IBERICO,10/11/2014,12/12/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399315,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.76,Individual,12.194,JAMON DE BELLOTA 100%_IBERICO,11/05/2015,06/05/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397885,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.755,Individual,12.19075,JAMON DE BELLOTA 100%_IBERICO,22/11/2014,03/12/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398790,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.755,Individual,12.19075,JAMON DE BELLOTA 100%_IBERICO,13/11/2014,03/12/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007397298,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.72,Individual,12.168,JAMON DE BELLOTA 100%_IBERICO,03/07/2015,30/07/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399162,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.715,Individual,12.16475,JAMON DE BELLOTA 100%_IBERICO,24/09/2013,16/10/2017
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399162,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.71,Individual,12.1615,JAMON DE BELLOTA 100%_IBERICO,17/09/2013,16/10/2017
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399209,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.705,Individual,12.15825,JAMON DE BELLOTA 100%_IBERICO,09/11/2014,31/10/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399919,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.705,Individual,12.15825,JAMON DE BELLOTA 100%_IBERICO,24/10/2014,02/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398295,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.7,Individual,12.155,JAMON DE BELLOTA 100%_IBERICO,03/09/2015,09/10/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007397526,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.7,Individual,12.155,JAMON DE BELLOTA 100%_IBERICO,26/06/2015,02/07/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398172,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.695,Individual,12.15175,JAMON DE BELLOTA 100%_IBERICO,18/07/2014,13/07/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398288,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.695,Individual,12.15175,JAMON DE BELLOTA 100%_IBERICO,07/02/2015,01/03/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397816,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.685,Individual,12.14525,JAMON DE BELLOTA 100%_IBERICO,17/06/2014,13/07/2018
Jamon,2021,210665,100%_IBERICO,BELLOTA,137007397489,57.74,19.54,7.89,8.67,10165.124,18353.8,22160,17986.724,15/11/2013,1,120,18.68,Individual,12.142,JAMON DE BELLOTA 100%_IBERICO,20/07/2015,29/07/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398004,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.675,Individual,12.13875,JAMON DE BELLOTA 100%_IBERICO,24/07/2015,30/07/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399421,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.67,Individual,12.1355,JAMON DE BELLOTA 100%_IBERICO,31/10/2014,30/11/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398547,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.67,Individual,12.1355,JAMON DE BELLOTA 100%_IBERICO,18/06/2015,10/06/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398332,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.665,Individual,12.13225,JAMON DE BELLOTA 100%_IBERICO,27/10/2014,03/12/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397991,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.655,Individual,12.12575,JAMON DE BELLOTA 100%_IBERICO,23/11/2014,03/12/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399377,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.615,Individual,12.09975,JAMON DE BELLOTA 100%_IBERICO,30/10/2014,12/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399117,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.61,Individual,12.0965,JAMON DE BELLOTA 100%_IBERICO,15/10/2014,16/11/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398660,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.59,Individual,12.0835,JAMON DE BELLOTA 100%_IBERICO,30/01/2015,01/03/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007397724,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.585,Individual,12.08025,JAMON DE BELLOTA 100%_IBERICO,09/06/2014,02/07/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397311,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.575,Individual,12.07375,JAMON DE BELLOTA 100%_IBERICO,02/10/2015,09/10/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007397724,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.575,Individual,12.07375,JAMON DE BELLOTA 100%_IBERICO,17/06/2014,02/07/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398257,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.57,Individual,12.0705,JAMON DE BELLOTA 100%_IBERICO,04/09/2015,18/09/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398325,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.57,Individual,12.0705,JAMON DE BELLOTA 100%_IBERICO,05/09/2015,30/09/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007397724,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.565,Individual,12.06725,JAMON DE BELLOTA 100%_IBERICO,10/07/2014,02/07/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007397724,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.565,Individual,12.06725,JAMON DE BELLOTA 100%_IBERICO,10/06/2014,02/07/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399070,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.56,Individual,12.064,JAMON DE BELLOTA 100%_IBERICO,26/09/2014,31/10/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007397878,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.555,Individual,12.06075,JAMON DE BELLOTA 100%_IBERICO,20/04/2015,06/05/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399599,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.555,Individual,12.06075,JAMON DE BELLOTA 100%_IBERICO,18/11/2014,10/12/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398561,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.555,Individual,12.06075,JAMON DE BELLOTA 100%_IBERICO,28/03/2015,30/04/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398042,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.545,Individual,12.05425,JAMON DE BELLOTA 100%_IBERICO,09/11/2014,08/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398882,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.545,Individual,12.05425,JAMON DE BELLOTA 100%_IBERICO,06/03/2015,08/04/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398042,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.535,Individual,12.04775,JAMON DE BELLOTA 100%_IBERICO,23/10/2014,08/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397397,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.53,Individual,12.0445,JAMON DE BELLOTA 100%_IBERICO,05/03/2015,01/04/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399728,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.525,Individual,12.04125,JAMON DE BELLOTA 100%_IBERICO,13/11/2014,12/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398530,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.52,Individual,12.038,JAMON DE BELLOTA 100%_IBERICO,08/11/2014,02/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398486,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.515,Individual,12.03475,JAMON DE BELLOTA 100%_IBERICO,10/10/2014,02/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399827,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.5,Individual,12.025,JAMON DE BELLOTA 100%_IBERICO,16/10/2014,23/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398097,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.5,Individual,12.025,JAMON DE BELLOTA 100%_IBERICO,05/11/2014,27/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397823,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.495,Individual,12.02175,JAMON DE BELLOTA 100%_IBERICO,21/05/2015,10/06/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398639,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.495,Individual,12.02175,JAMON DE BELLOTA 100%_IBERICO,04/12/2014,23/11/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398813,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.495,Individual,12.02175,JAMON DE BELLOTA 100%_IBERICO,26/11/2014,23/11/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399230,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.495,Individual,12.02175,JAMON DE BELLOTA 100%_IBERICO,25/05/2015,06/06/2019
Jamon,2021,210376,75%_IBERICO,BELLOTA,137007397779,0,0,0,0,10943.212,19469.4,23520,19080.012,15/11/2013,1,124,18.49,Individual,12.0185,JAMON DE BELLOTA IBERICO 75% Raza Ib‚rica,26/01/2015,04/02/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398608,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.485,Individual,12.01525,JAMON DE BELLOTA 100%_IBERICO,02/05/2015,06/05/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399988,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.48,Individual,12.012,JAMON DE BELLOTA 100%_IBERICO,20/03/2015,01/04/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007397700,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.475,Individual,12.00875,JAMON DE BELLOTA 100%_IBERICO,17/08/2015,03/09/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399841,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.47,Individual,12.0055,JAMON DE BELLOTA 100%_IBERICO,06/06/2015,27/05/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399216,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.46,Individual,11.999,JAMON DE BELLOTA 100%_IBERICO,27/09/2013,09/10/2017
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398707,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.455,Individual,11.99575,JAMON DE BELLOTA 100%_IBERICO,10/11/2016,27/11/2020
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007397632,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.455,Individual,11.99575,JAMON DE BELLOTA 100%_IBERICO,30/03/2014,02/04/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398523,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.45,Individual,11.9925,JAMON DE BELLOTA 100%_IBERICO,08/08/2015,29/07/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397441,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.445,Individual,11.98925,JAMON DE BELLOTA 100%_IBERICO,18/07/2014,26/07/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398042,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.445,Individual,11.98925,JAMON DE BELLOTA 100%_IBERICO,10/11/2014,08/11/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398042,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.445,Individual,11.98925,JAMON DE BELLOTA 100%_IBERICO,26/10/2014,08/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398905,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.435,Individual,11.98275,JAMON DE BELLOTA 100%_IBERICO,04/11/2014,02/11/2018
Jamon,2021,210247,75%_IBERICO,BELLOTA,137007398615,57.62,20.17,8.43,7.8,10721.89,18825.5,23120,18448.99,15/11/2013,1,123,18.43,Individual,11.9795,JAMON DE BELLOTA IBERICO 75% Raza Ib‚rica,12/11/2014,30/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397663,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.425,Individual,11.97625,JAMON DE BELLOTA 100%_IBERICO,15/07/2015,29/07/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398189,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.425,Individual,11.97625,JAMON DE BELLOTA 100%_IBERICO,21/10/2014,02/11/2018
Jamon,2021,210462,100%_IBERICO,BELLOTA,137007399698,55.04,19.95,8.81,9.78,10883.884,18715.8,22780,18341.48,15/11/2013,1,129,18.42,Individual,11.973,JAMON DE BELLOTA 100%_IBERICO,13/03/2015,01/04/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399926,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.42,Individual,11.973,JAMON DE BELLOTA 100%_IBERICO,23/05/2015,20/05/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398165,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.415,Individual,11.96975,JAMON DE BELLOTA 100%_IBERICO,26/10/2014,20/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398271,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.415,Individual,11.96975,JAMON DE BELLOTA 100%_IBERICO,07/10/2014,09/11/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007397953,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.41,Individual,11.9665,JAMON DE BELLOTA 100%_IBERICO,16/03/2015,01/04/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399537,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.405,Individual,11.96325,JAMON DE BELLOTA 100%_IBERICO,04/10/2015,07/10/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399285,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.4,Individual,11.96,JAMON DE BELLOTA 100%_IBERICO,13/10/2015,07/10/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398455,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.395,Individual,11.95675,JAMON DE BELLOTA 100%_IBERICO,07/11/2014,03/12/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397960,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.385,Individual,11.95025,JAMON DE BELLOTA 100%_IBERICO,20/04/2015,06/05/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398103,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.38,Individual,11.947,JAMON DE BELLOTA 100%_IBERICO,11/06/2014,02/07/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007397502,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.38,Individual,11.947,JAMON DE BELLOTA 100%_IBERICO,16/09/2014,22/10/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397625,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.375,Individual,11.94375,JAMON DE BELLOTA 100%_IBERICO,07/06/2015,01/07/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398103,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.375,Individual,11.94375,JAMON DE BELLOTA 100%_IBERICO,01/07/2014,02/07/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398684,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.365,Individual,11.93725,JAMON DE BELLOTA 100%_IBERICO,01/05/2015,27/05/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398752,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.365,Individual,11.93725,JAMON DE BELLOTA 100%_IBERICO,08/09/2015,18/09/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397755,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.36,Individual,11.934,JAMON DE BELLOTA 100%_IBERICO,22/06/2015,24/06/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398431,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.36,Individual,11.934,JAMON DE BELLOTA 100%_IBERICO,09/10/2014,24/10/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398103,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.355,Individual,11.93075,JAMON DE BELLOTA 100%_IBERICO,06/07/2014,02/07/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398103,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.345,Individual,11.92425,JAMON DE BELLOTA 100%_IBERICO,06/06/2014,02/07/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399612,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.335,Individual,11.91775,JAMON DE BELLOTA 100%_IBERICO,28/10/2014,23/11/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399575,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.33,Individual,11.9145,JAMON DE BELLOTA 100%_IBERICO,07/11/2014,19/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398998,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.315,Individual,11.90475,JAMON DE BELLOTA 100%_IBERICO,29/11/2014,23/11/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007398219,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.3,Individual,11.895,JAMON DE BELLOTA 100%_IBERICO,30/09/2014,05/10/2018
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398363,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.3,Individual,11.895,JAMON DE BELLOTA 100%_IBERICO,29/05/2015,10/06/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007398875,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.3,Individual,11.895,JAMON DE BELLOTA 100%_IBERICO,17/05/2015,28/05/2019
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007397458,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.27,Individual,11.8755,JAMON DE BELLOTA 100%_IBERICO,24/02/2015,05/03/2019
Jamon,2021,210180,100%_IBERICO,BELLOTA,137007399957,57.2,20.85,8.91,7.03,10106.074,17289.8,21180,16944.004,15/11/2013,1,0,18.265,Individual,11.87225,JAMON DE BELLOTA 100%_IBERICO,25/09/2014,31/10/2018
Jamon,2021,210137,100%_IBERICO,BELLOTA,137007399858,0,0,0,0,10990.714,18574.3,22780,18202.814,15/11/2013,1,129,18.26,Individual,11.869,JAMON DE BELLOTA 100%_IBERICO,07/11/2014,02/11/2018
